"userName","score","at","content"
"Usdek Hardjo","5","31/01/2022 08:32","sangat membantu informasi nya"
"anton purnama","1","31/01/2022 08:32","Knp smp skrng kok g bisa di dowload y aplikasi pedulilindungi?"
"Eko Santoso","5","31/01/2022 08:27","Baguss"
"Siti Soetinah","1","31/01/2022 08:20","Loading banget...salah mulu padahal udah bener dan nyoba berkali kali"
"Ishlakhul Mali","1","31/01/2022 08:18","Kalau dipakai scan ndak bisa"
"Demianus digit Demianus","5","31/01/2022 08:18","Biar bitang yg berbicara...."
"Devia Nur Anggraeni","5","31/01/2022 08:14","Good"
"Purwo Budoyo","5","31/01/2022 08:10","Good"
"Asti Kurnia","4","31/01/2022 08:06","Sangat membantu sekali"
"Ida Bagus Biantoro","5","31/01/2022 08:06","Bagus"
"Resley Kabelen","5","31/01/2022 08:02","Slebew"
"kiki maulana","2","31/01/2022 08:02","Aplikasi error' ga bsa ke buka setelah di perbarui"
"Dekasul Channel","5","31/01/2022 08:02","Mantap...."
"anda purwanto","4","31/01/2022 07:59","Vaksin 1 & vaksin 2 ok"
"Yang cik Cik","5","31/01/2022 07:56","Mempermudahkan informasi selama perjalanan"
"Murai Batu","5","31/01/2022 07:54","Membantu orang saja"
"Suparman 11","2","31/01/2022 07:52","Tolong developer tambahan kan fitur mengetik di tanggal lahir mundurin tahun nya kelamaan ????"
"Aba Lolo","5","31/01/2022 07:49","Dapat membantu Anda dalam segala hal Apa pun yang di butuhkan"
"Imam Rifai","5","31/01/2022 07:49","Buat ngecek yg sdh d vaksin"
"Aris Solihin","5","31/01/2022 07:48","Mantap"
"Grace Ringo","5","31/01/2022 07:48","Mantap"
"haryo suseno - chanel","5","31/01/2022 07:45","Udah ada aplikasi masih suruh download haduh"
"Wicha 3","5","31/01/2022 07:43","Good"
"Alex Zander","5","31/01/2022 07:40","Ok"
"Mahbub Ulhaq","5","31/01/2022 07:38","Mantap"
"Mulyono Mul","1","31/01/2022 07:37","Captcha error!"
"Narto Siti","1","31/01/2022 07:37","ini gimana daftar nya kok gagal terus"
"dimas master","5","31/01/2022 07:32","good"
"titin Komaria","5","31/01/2022 07:30","Lumayan lah"
"awonk goen","5","31/01/2022 07:29","Mantap"
"Kompor Njebluk","1","31/01/2022 07:26","Sya sudah vaksin 2 kali,tpi ga bisa klaim sertifikat. Percuma suntak suntik,klo ga bisa klaim sertifikat. Cs di Wa cuma bisa OTP doank.ga bisa bales apa yang sesuai sya tanyakan. Percuma voksan vaksin,suntak suntik klo ga dpt sertifikat mah."
"luluk herman","5","31/01/2022 07:24","Yup"
"Dwi Hastuti","5","31/01/2022 07:24","Apakah nanti ada info lg...jika ingin vaksin ketiga."
"Didik P.H","4","31/01/2022 07:24","mol"
"Kokok Purwoko","5","31/01/2022 07:23","Buka aplikasi lemot dan scand kedatangan lemot"
"Herbert Sihotang","5","31/01/2022 07:20","HalleluYah"
"Abdullah Tojari","5","31/01/2022 07:18","Cukup baik"
"Tono Hartono","5","31/01/2022 07:12","Mantappp...????"
"Wahyudi Yudi","5","31/01/2022 07:11","Ok"
"ayuegg chandraa","5","31/01/2022 07:08","Bagus sekali"
"Altan","5","31/01/2022 07:07","Foto profilnya ngebug gak bisa dipasang (gak penting)"
"tholet pamungkas","4","31/01/2022 07:06","Belum sempurna,,terkadang sering error"
"yeremias TaNGGu","4","31/01/2022 07:03","Aplikasi yg sngat bermanfaat"
"fatma wulandari","5","31/01/2022 07:00","Bgs"
"User Yogi","5","31/01/2022 06:57","Ok"
"Shechan Shahab","5","31/01/2022 06:57","Belum ada pengalaman"
"Wisnu Groho","4","31/01/2022 06:55","Sangat berguna sekali saat kita berpergian dan komunitas terlindungi"
"Kun Tayakun","5","31/01/2022 06:55","Thank"
"Kareza Imdaragani","5","31/01/2022 06:44","Bagus"
"Irah Suharjo","5","31/01/2022 06:43","Sangat mmbntu"
"Ahmad Sugianto","5","31/01/2022 06:41","Ok"
"Yudi Sukoharjo","1","31/01/2022 06:41","Ora masuk blasss"
"Asep Koswara","1","31/01/2022 06:39","Makin ke sini makin ga jelas mau cek sertivikat vaksin punya sendiri keluar nya yang lain adeh.....pusing aku"
"Agh Prn","2","31/01/2022 06:39","Saya sudah vaksin lengkap 2 dosis tapi sertifikat terkadang muncul terkadang tidak muncul"
"John Limbong","5","31/01/2022 06:36","Next update"
"Wina Rodeca","1","31/01/2022 06:35","Sudah di ulangi beberapa kali tetap aja tdk mau masuk????"
"Petan Hulex","5","31/01/2022 06:34","Sangat"
"Anto Kusantoro","5","31/01/2022 06:29","Ok"
"Durian_ manis","1","31/01/2022 06:29","mohon untuk cara mengisi tgl lahir dan cara ngisi tgl vaksin jangan ngabisin jari untuk flasback kalender segitunya ya ampun.... mau klaim sertifikat aja.."
"teguh _TIW","2","31/01/2022 06:28","Saya sudah pakai aplikasinya cukup lama, tapi saat ini ada kendala tidak bisa chcek in ""perangkat anda tidak terkoneksi kedalam jaringan"" kenapa ya???"
